"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:17:16:262","03-17-2022 04:17:38:964","22.702","34.20769230769232","735.5378824773147","1495.2309999999995"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 04:17:50:518","03-17-2022 04:18:34:425","43.907","32","380.3079465233334","3375.2109999999993"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:18:54:198","03-17-2022 04:19:16:487","22.289","34.303846153846166","749.1668988290188","1497.137"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:19:31:291","03-17-2022 04:19:57:751","26.46","34.18666666666668","3800.04868420257","2094.2549999999997"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 04:20:09:536","03-17-2022 04:21:20:033","70.497","32","1426.2917313360851","5630.877000000002"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:21:42:008","03-17-2022 04:21:56:995","14.987","35.6578947368421","6709.100432641622","1298.515"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:22:11:942","03-17-2022 04:23:11:120","59.178","34.93015873015872","4042.2572934536483","5046.443000000002"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 04:23:24:203","03-17-2022 04:25:46:787","142.584","32","1677.696670818605","11334.336999999996"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:26:11:807","03-17-2022 04:26:57:874","46.067","34.385999999999996","5192.712833742158","3810.7009999999987"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:27:13:826","03-17-2022 04:27:35:093","21.267","34.31200000000002","785.1686184229087","1503.197"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 04:27:47:303","03-17-2022 04:28:29:809","42.506","32","392.84291648237894","3188.5879999999997"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:28:48:461","03-17-2022 04:29:10:542","22.081","34.088461538461544","756.2239485530547","1506.679"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:29:25:453","03-17-2022 04:29:45:497","20.044","34.28750000000001","5016.428267012572","1783.955"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 04:29:57:721","03-17-2022 04:31:03:693","65.972","32","1524.1206600375917","5691.6770000000015"
